,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
,1960,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault                    4,,30,47,111,26,27,46,класс  A           хэтчбек               Франция                       60                               1,4800 /,5
У,,"0,5","0,8","0,7","1,8","0,8","0,9",,,
Chevrolet	           El Camino,,173,290,165,"14,6",19,70,класс  B           купе               США                      60                               2                              muscle car,13 700 /,4
У,,"0,9",1,"0,7","2,2","0,7",1,,,
BMW                   700 Sport,,70,92,160,17,70,50,класс  A            купе               Германия                      60                               2,14 000 /,4
Г,,"0,8","0,8",1,2,"0,7","0,7",,,
Chevrolet	    K10 4x4,,305,481,145,"16,9",8,140,класс  C            внедорожник               США                      60                               2,23 500 /,4
В,,"0,7","0,7","0,5","1,2","0,9","1,3",,,
Ford 	Thunderbird,,304,578,190,10,20,50,класс  C            купе               США                      60                               3                              muscle car,26 000 /,3
У,,"0,9","0,8","0,8",2,1,1,,,
Ferrari	   SP-Serie,,270,311,239,6,92,32,класс C             купе               Италия                     60                               5                                                                     автоспорт,50 000/,1
С,,"0,9",1,"1,4","1,5","0,7","0,7",,,
Ferrari               250 TRI61,,300,294,259,6,90,29,класс  C            купе               Италия                     60                               5                                                                     коллекция                              widow maker,50 000/,1
Г,,1,"0,9","1,3","1,4","0,7","0,7",,,
,БЕТА,,,,,,,,,
Ford                  Capri,,59,97,145,"18,9",26,57,класс A            хэтчбек               США                      60                               1,5000 /,5
У,,"0,8",1,"0,7",2,1,1,,,
Chevrolet 	Apache 10,,116,234,111,26,13,121,класс  B            внедорожник               США                      60                               2,12 000 /,4
В,,"0,9","0,9","0,6","1,3","0,6","1,5",,,
Chevrolet           Biscayne,,185,373,181,"12,5",30,42,класс B             седан               США                      60                               2                              комфорт,15 000 /,4
У,,"0,9",1,"0,6",2,"0,7",1,,,
Chevrolet	   Corvette,,150,302,165,11,49,45,класс  B            купе               США                      60                               3,21 500 /,3
Г,,"0,9","0,8",1,"1,9",1,"0,8",,,
BMW                   700 RS,,70,92,165,15,74,47,класс  A            купе               Германия                      60                               5                               коллекция                                       автоспорт,25 000 /,1
Г,,"0,6","0,8","0,8","2,6","0,7","0,7",,,
Ferrari              250 GT Berlinetta Passo Corto Lusso,,250,273,241,8,80,29,класс  C            купе               Италия                      60                               4                                   коллекция,44 000 /,2
Г,,"0,9",1,"1,1","1,5","0,8","0,8",,,
,ГАММА,,,,,,,,,
Citroen	          2 CV 4x4 Sahara,,14,25,100,30,20,90,класс   A           хэтчбек               Франция                       60                               1,6800 /,5
У,,"0,6","0,8","0,6","1,8","0,8","1,3",,,
Renault	 Alpine A108 Sport,,44,60,118,24,80,35,класс  A            купе               Франция                      60                               2,9600 /,4
У,,"0,7","0,8","1,1","2,2","0,7","0,7",,,
