Name,Power,Power_Coeff,Torque,Torque_Coeff,Speed,Speed_Coeff,Acceleration,Acceleration_Coeff,Handling,Handling_Coeff,Offroad,Offroad_Coeff,Tags,Price
"Renault                    4",30,0,5,47,0,8,111,0,7,26,1,8,27,0,8,46,0,9,"класс  A           хэтчбек               Франция                       60                               1","4800 /"
"Ford                  Capri",59,0,8,97,1,145,0,7,18,9,2,26,1,57,1,"класс             хэтчбек               США                      60                               1","5000 /"
"Citroen	          2 CV 4x4 Sahara",14,0,6,25,0,8,100,0,6,30,1,8,20,0,8,90,1,3,"класс              хэтчбек               Франция                       60                               1","6800 /"
"Chevrolet	    Corvair 500 Club Coupe",112,0,9,217,1,160,0,6,14,3,1,9,34,0,7,40,1,"класс              купе               США                      60                               1","7200 /"
"Ford	           Falcon",91,0,9,187,1,159,0,6,19,1,9,34,0,7,61,1,"класс              седан               США                      60                               1","8500 /"
"Renault	 Alpine A108 Sport",44,0,7,60,0,8,118,1,1,24,2,2,80,0,7,35,0,7,"класс              купе               Франция                      60                               2","9600 /"
"Chevrolet 	Apache 10",116,0,9,234,0,9,111,0,6,26,1,3,13,0,6,121,1,5,"класс              внедорожник               США                      60                               2","12 000 /"
"Chevrolet	           El Camino",173,0,9,290,1,165,0,7,14,6,2,2,19,0,7,70,1,"класс              купе               США                      60                               2                              muscle car","13 700 /"
"BMW                   700 Sport",70,0,8,92,0,8,160,1,17,2,70,0,7,50,0,7,"класс              купе               Германия                      60                               2","14 000 /"
"Chevrolet	   Biscayne",185,0,9,373,1,181,0,6,12,5,2,30,0,7,42,1,"класс              седан               США                      60                               2                              комфорт","15 000 /"
"Ford 	     F-100",185,0,8,396,0,7,115,0,6,21,1,5,10,0,7,115,1,5,"класс              внедорожник               США                      60                               2","18 900 /"
"BMW                3200 CS",162,0,7,240,0,7,200,0,7,14,2,3,59,0,7,44,1,"класс              купе               Германия                      60                               2                              комфорт","19 000 /"
"Chevrolet	 Impala",253,0,7,481,0,6,192,0,6,8,1,3,21,0,7,47,1,"класс              купе               США                      60                               2                              muscle car","20 000 /"
"Ford 	  Galaxie",220,0,7,456,0,6,190,0,6,9,8,1,4,22,0,7,54,1,"класс              седан               США                      60                               2                              комфорт","21 000 /"
"Chevrolet	   Corvette",150,0,9,302,0,8,165,1,11,1,9,49,1,45,0,8,"класс              купе               США                      60                               3","21 500 /"
"Chevrolet	    K10 4x4",305,0,7,481,0,7,145,0,5,16,9,1,2,8,0,9,140,1,3,"класс              внедорожник               США                      60                               2","23 500 /"
"Ford 	Thunderbird",304,0,9,578,0,8,190,0,8,10,2,20,1,50,1,"класс              купе               США                      60                               3                              muscle car","26 000 /"
"BMW                   700 RS",70,0,6,92,0,8,165,0,8,15,2,6,74,0,7,47,0,7,"класс              купе               Германия                      60                               5                               коллекция                                       автоспорт","27 000 /"
"Porsche	     718 RS 60 Spyder",148,0,8,167,0,8,201,1,10,1,9,81,0,8,33,0,8,"класс              купе               Германия                      60                               4                                                                     автоспорт","33 000 /"
"Ferrari                250 GTO",300,0,7,294,0,8,254,1,6,1,1,3,86,0,8,31,0,8,"класс              купе               Италия                      60                               3                                               widow maker","38 000 /"
"Ferrari	          400 SuperAmerica SuperFast 2",300,0,9,380,0,8,252,1,1,7,1,2,67,0,8,30,0,8,"класс              купе               Италия                      60                               4                                   коллекция","42 000 /"
"Chevrolet	  Corvette Le Mans",290,0,9,407,1,216,1,3,7,1,3,57,0,8,40,0,8,"класс              купе               США                      60                               5                                                                     автоспорт","43 500 /"
"Ferrari	      250 GT Berlinetta Passo Corto Lusso",250,0,9,273,1,241,1,1,8,1,5,80,0,8,29,0,8,"класс              купе               Италия                      60                               4                                   коллекция","44 000 /"
"Ferrari	   SP-Serie",270,0,9,311,1,239,1,4,6,1,5,92,0,7,32,0,7,"класс              купе               Италия                     60                               5                                                                     автоспорт","50 000/"
