3 игрока,4 игрока,5 игроков,6 игроков,7 игроков,8 игроков,,НАГРАДЫ ЗА КВАЛИФИКАЦИЮ . Деньги даются за каждую гонку из трёх!,,,,,
Награды .Деньги и баллы даются за каждую гонку из трёх!,Награды .Деньги и баллы даются за каждую гонку из трёх!,Награды .Деньги и баллы даются за каждую гонку из трёх!,Награды .Деньги и баллы даются за каждую гонку из трёх!,Награды .Деньги и баллы даются за каждую гонку из трёх!,Награды .Деньги и баллы даются за каждую гонку из трёх!,,3 игрока,4 игрока,5 игроков,6 игроков,7 игроков,8 игроков
City Challenge  (raсe day  по вторникам) не допускается автоспорт,City Challenge  (raсe day  по вторникам) не допускается автоспорт,City Challenge  (raсe day  по вторникам) не допускается автоспорт,City Challenge  (raсe day  по вторникам) не допускается автоспорт,City Challenge  (raсe day  по вторникам) не допускается автоспорт,City Challenge  (raсe day  по вторникам) не допускается автоспорт,,1-20000,1-20000,1-20000,1-20000,1-20000,1-20000
"1- 3500,  3 балла","1- 3500,  4 балла","1- 3500,  5 баллов","1- 3500,  6 баллов","1- 3500,  7 баллов","1- 3500,  7 баллов",,2-12500,2-14000,2-15000,2-15500,2-16000,2-17000
"2- 2200, 2 балла","2- 2700, 3 балла","2- 2700, 4 баллов","2- 2700, 5 баллов","2- 3000, 6 баллов","2- 3200, 6 баллов",,3-7500,3-10000,3- 11000,3 - 12000,3- 13500,3 - 15000
"3- 1000, 1 балл","3- 1600, 2 балла","3- 2000, 3 балла","3- 2000, 4 балла","3- 2300, 5 баллов","3- 2700, 5 баллов",,,4-7000,4-9000,4- 10000,4- 11500,4- 12000
National Tournament (raсe day по четвергам),"4- 1000, 1 балл","4- 1300, 2 балла","4- 1500, 3 балла","4- 1800, 4 балла","4- 2100, 4 балла",,,,5-6500,5- 8000,5- 9000,5- 10000
"1- 5000, 5 баллов",National Tournament (raсe day по четвергам),"5- 800, 1 балл","5- 1000, 2 балла","5- 1300, 3 балла","5- 1600, 3 балла",,,,,6-6000,6- 7000,6- 8500
"2- 3000,   3 баллов","1- 5000, 7 баллов",National Tournament (raсe day по четвергам),"6- 700, 1 балл","6- 900, 2 балла","6- 1200, 2 балла",,,,,,7-5500,7- 6500
"3- 1500,   1 балл","2- 3800,   5 баллов","1- 5000, 8 баллов",National Tournament (raсe day по четвергам),"7- 700, 1 балл","7- 1100, 1 балл",,,,,,,8-5000
