Трасса,Мощность,Крутящий момент,Скорость,Разгон,Управляемость,Проходимость,Требование (если стоит + значит нужно выполнить несколько требований на одной машине)
1958,,,,,,,
квалификация,,,,,,,
Слалом,2,0,0,4,6,0,
Мотокросс ,2,3,0,2,3,5,
Дорога ,1,1,1,1,1,1,
1960,,,,,,,
City Challenge ,,,,,,,
Сельская дорога 1,2,1,1,5,3,2,хэтчбек
Трасса 1,5,2,3,3,3,0,купе
Дрэг 400 метров,1,3,4,8,0,0,Франция
National Tournament ,,,,,,,
Грунтовка 1,2,3,1,4,4,5,1 авто С класса
Дорога 1,1,1,1,1,1,1,
Дрифт 1,1,6,0,1,5,0,
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,
Трек 1,2,2,3,2,3,0,Германия
Кольцо 1,4,2,5,2,1,0,
1962,,,,,,,
City Challenge ,,,,,,,
Дрэг 800 метров,2,3,6,6,0,0,седан
Мотокросс 1,2,3,1,2,3,6,США
Дорога 2,2,1,2,1,2,1,
National Tournament ,,,,,,,
Кольцо 2,4,1,4,3,2,0,1 авто B класса
Грунтовка 2,2,3,2,3,3,5,редкость 1
Трек 2,1,1,2,2,4,0,
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Дрифт 2,0,5,0,0,6,0,А-класс
Сельская дорога 2,1,2,0,4,5,3,седан или хэтчбек
1964,,,,,,,
City Challenge ,,,,,,,
Дорога 3,1,3,2,3,1,2,комфорт
Лёд дрифт 2,3,5,0,3,5,4,редкость 3
Трасса 2,4,3,3,4,2,0,Италия
National Tournament ,,,,,,,
Лёд дрифт 1,2,6,0,2,4,3,авто А-класса
Песок дрэг 400 м,1,4,2,6,1,4,
Сельская дорога 3,1,1,0,3,5,4,авто А-класса
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Грунтовка 3,1,2,0,4,5,4,внедорожник
Трек 3,3,2,2,3,5,0,США и Франция
1966,,,,,,,
City Challenge ,,,,,,,
Слалом,0,0,0,2,7,0,редкость 1
Трасса 3,4,1,4,2,2,0,шины внедорожные
Мотокросс 2,1,4,0,3,4,7,шины универсальные
National Tournament ,,,,,,,
Дрэг 1600 метров,1,2,8,4,0,0,muscle car
Дрифт 3,2,4,0,3,3,0,слики
Трек 4,2,1,1,4,6,0,
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Мотокросс 3,2,2,2,4,3,5,мощность - 201-300 лс
Песок дрэг 800 м,1,4,4,4,1,4,Шины Универсальные
1968,,,,,,,
City Challenge ,,,,,,,
Сельская дорога 4,2,2,2,4,3,2,внедорожник
Кольцо 3,3,2,4,1,2,0,Германия
Кольцо 4,3,2,6,1,1,0,мощность до 121 лс
National Tournament ,,,,,,,
Трасса 4,2,1,2,3,5,1,редкость 2
Дорога 4,4,1,1,2,4,0,редкость 2
Дрифт 4,3,4,1,2,2,0,коллекция
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Мотокросс 4,3,5,0,2,6,5,120-200 лс
Грунтовка 4,2,1,3,2,3,4,купе
1970,,,,,,,
City Challenge ,,,,,,,
Песок дрэг 1600 м,2,3,6,2,0,3,редкость 4
Грунтовка 1,2,3,1,4,4,5,widow maker
Трек 1,2,2,3,2,3,0,Италия
National Tournament ,,,,,,,
Трасса 1,5,2,3,3,3,0,гоночные шины
Дрифт 1,1,6,0,1,5,0,гоночные шины
Дорога 1,1,1,1,1,1,1,гоночные шины
World series,,,,,,,
СЛАЛОМ,0,0,0,2,5,0,оплатить 1000 при записывании на гонку
Дрэг 400 метров,1,3,4,8,0,0,эпоха -60-ые
Сельская дорога 1,2,1,1,5,3,2,Германия
1972,,,,,,,
City Challenge ,,,,,,,
Сельская дорога 2,1,2,0,4,5,3,эпоха - 70-ые
Снег слалом,0,1,0,2,5,4,редкость 1
Лёд дрифт 1,2,6,0,2,4,3,седан
National Tournament ,,,,,,,
Слалом,0,0,0,2,7,0,muscle car
Кольцо 1,4,2,5,2,1,0,
Трек 2,1,1,2,2,4,0,muscle car
World series,,,,,,,
МОТОКРОСС,1,3,1,2,1,5,оплатить 1000 при записывании на гонку
Грунтовка 2,2,3,2,3,3,5,автоспорт
Дрэг 800 метров,2,3,6,6,0,0,Италия
1974,,,,,,,
City Challenge ,,,,,,,
Мотокросс 1,2,3,1,2,3,6,хэтчбек США
Дорога 2,2,1,2,1,2,1,Франция B-класса
Трек 3,3,2,2,3,5,0,pедкость 5
National Tournament ,,,,,,,
Дрифт 2,0,5,0,0,6,0,мощность менее 121 лс
Трасса 2,4,3,3,4,2,0,
Дрифт 3,2,4,0,3,3,0,мощность менее 121 лс
World series,,,,,,,
ДРИФТ,1,3,0,1,4,0,оплатить 1000 при записывании на гонку
Кольцо 2,4,1,4,3,2,0,комфорт+Гоночные шины
Мотокросс 3,2,2,2,4,3,5,внедорожник
1976,,,,,,,
City Challenge ,,,,,,,
Грунтовка 3,1,2,0,4,5,4,Италия С класса
Песок дрэг 800 м,1,4,4,4,1,4,купе+ редкость 2
Сельская дорога 3,1,1,0,3,5,4,мощность 301-450 лс
National Tournament ,,,,,,,
Песок дрэг 400 м,1,4,2,6,1,4,эпоха 70-ые
Мотокросс 2,1,4,0,3,4,7,эпоха 70-ые
Дрэг 1600 метров,1,2,8,4,0,0,эпоха 70-ые
World series,,,,,,,
ДРЭГ,2,1,4,3,0,0,оплатить 1000 при записывании на гонку
Дрифт 4,3,4,1,2,2,0,D -класс
Сельская дорога 4,2,2,2,4,3,2,Управляемость выше 105
1978,,,,,,,
City Challenge ,,,,,,,
Снег слалом,0,1,0,2,5,4,А-класс
Кольцо 3,3,2,4,1,2,0,коллекция
