н,ЗАДАЧА,Пояснение,,,,,,,,
1,Автосалоны,"При входе во вкладку АВТОСАЛОНЫ игрок должен видеть 4 автосалона АЛЬФА, БЕТА, ГАММА и ДЕЛЬТА. какие тачки в каких автосалонах появляются видно в этой таблице на листе SHOPS. например, сейчас видны тачки по 43 строку в этих четырех магазинах.",,,,,,,,
2,Внешний вид машинок,"Очень бы хотелось, чтобы вид карточки был такой же, как  в оригинальном игрупере. Это удобно и машинки не срезаются. То есть игрок видит горизонтальную карточку, где справа характеристики, а картинка целиком виднелась бы. Причем, желательно, чтобы цвет карточки был соответственным её классу",,,,,,,,
3,Магазины,исправить косяк в Таврии со сликами,,,,,,,,
,У Ильсурика,"Интерк1, Шатуны1, Коленвал1, ШиныУни1, ШиныГон1",,,,,,,,
,Trash Shopito,"Впуск1, вЫпуск1, диффСБ1, коробка1, поршни1",,,,,,,,
,Колянур,"Фильтры1, РаспрВерх1, Клиренс1, Амортиз1, Лебёдка1",,,,,,,,
,Девяточка,"Тормоза1. Маховик1, Шаровые1, Турб1,Расточка1",,,,,,,,
,Таврия,"Слики1, ШиныОфф1, ТоплСист1, ДиффПТ1, Пруж1, Облегчение1",,,,,,,,
,Батыр,"Компрессор1, РаспрНиз1, РаспрУни1,ШРУС1, Шноркель 1",,,,,,,,
4,Гараж,"в гараже надо сделать вкладку Склад, где будут храниться трофейные детали, кторые можно выставить на аукцион или поставить на свою любую машинку",,,,,,,,
5,Расписание гонок,"при входе в эту вкладку игрок должен видеть, что его ожидает на этой неделе, как на таблице справа. ",Трасса,Мощность,Крутящий момент,Скорость,Разгон,Управляемость,Проходимость,Требование
,,,1960,,,,,,,
,,,вторник 5 мая,,,,,,,
,,,Сельская дорога 1,2,1,1,5,3,2,хэтчбек
,,,Трасса 1,5,2,3,3,3,0,купе
,,,Дрэг 400 метров,1,3,4,8,0,0,Франция
,,,четверг 7 мая,,,,,,,1 авто С класса
,,,Грунтовка 1,2,3,1,4,4,5,
,,,Дорога 1,1,1,1,1,1,1,
,,,Дрифт 1,1,6,0,1,5,0,
,,,суббота 9 мая,,,,,,,
,,,ДРЭГ,2,1,4,3,0,0,
,,,Трек 1,2,2,3,2,3,0,Германия
,,,Кольцо 1,4,2,5,2,1,0,
6,"Сервис "" у Джамшута""","Во вкладке с Магазинами запчастей сделать еще один. Где можно снять установленные детали, в качестве платы за работу Джамшут забирает деталь себе. Эта процедура тоже считается за поездку в магазин, то есть машина, которая была направлена к Джамшуту, в этот раз уже в другие магазины не едет. Детали можно снимать в любом количестве, при этом машина теряет в характеристиках точно так же, как и получала за снятую деталь",,,,,,,,
7,включить в игру градацию призов в зависимости от количества игроков в комнате,смотри третью вкладку НАГРАДЫ в этой таблице,,,,,,,,
8,"РАЗГОН,,сделать сотые секунды","у более быстрых тачек там разгон еле прибавляется , и каждая сотая важно. не 5,5 а 5,52 например",,,,,,,,
9,формула СКОРОСТИ,"rкогда прирост в конкретных фиксированных км/ч, всё оставляем, когда прирост в процентах, используем формулу V=((450-X)*P)*K+X, где V - получаемая в результате покупки детали скорость,  X - скорость ДО покупки детали,  P  - указанный в магазине процент прибавки скорости от детали,  K - коэффициент скорости самой машины",,,,,,,,
10,чат ,не отображаются сообщения после отправки,,игрок 1,игрок 2,игрок 3,игрок 4,игрок 5,,
